"symbol","machine_cr","hold_cr","num_trades","start_date","end_date"
MMM,-0.19473900000000022,0.19892699999999985,1,2017-01-01,2018-12-28
AOS,-0.18553599999999981,-0.036769999999999969,5,2017-01-01,2018-12-28
ABT,-0.12378600000000006,0.3359939999999999,3,2017-01-01,2018-12-28
ACN,-0.40083799999999992,0.2771030000000001,4,2017-01-01,2018-12-28
ATVI,0.0,0.10566300000000006,0,2017-01-01,2018-12-28
AYI,0.42124900000000087,-1.1855660000000001,23,2017-01-01,2018-12-28
ADBE,0.073499999999999899,1.1964999999999999,4,2017-01-01,2018-12-28
AAP,-0.089966000000000101,-0.144845,1,2017-01-01,2018-12-28
AMD,0.17090000000000005,0.063900000000000068,4,2017-01-01,2018-12-28
AES,-0.0091140000000000665,0.035426999999999875,8,2017-01-01,2018-12-28
AET,0.0,-1.2003159999999999,0,2017-01-01,2018-12-28
AMG,-1.092902,-0.47944600000000004,2,2017-01-01,2018-12-28
AFL,0.020520999999999789,0.11614899999999984,6,2017-01-01,2018-12-28
A,0.14863399999999993,0.20312799999999998,1,2017-01-01,2018-12-28
APD,0.079467999999999872,0.23761499999999991,2,2017-01-01,2018-12-28
AKAM,0.048799999999999955,-0.065200000000000036,13,2017-01-01,2018-12-28
ALK,0.31830299999999978,-0.24669699999999994,1,2017-01-01,2018-12-28
ALB,-0.15529000000000026,-0.091389999999999971,7,2017-01-01,2018-12-28
ARE,-0.17220199999999986,0.09738699999999989,5,2017-01-01,2018-12-28
ALXN,0.0,-0.25419999999999998,0,2017-01-01,2018-12-28
ALGN,1.1198000000000001,1.1133000000000002,3,2017-01-01,2018-12-28
AGN,-0.71720700000000015,-0.76950200000000013,1,2017-01-01,2018-12-28
ADS,0.69919500000000001,-0.78729700000000014,1,2017-01-01,2018-12-28
LNT,0.043260999999999994,0.064438999999999913,2,2017-01-01,2018-12-28
ALL,0.06527499999999975,0.10482799999999992,5,2017-01-01,2018-12-28
GOOGL,4.1946999999999965,2.3867000000000012,12,2017-01-01,2018-12-28
